,year,percentile,income_family
0,1963,10th,13286.140975300828
1,1963,50th,47025.5300823306
2,1963,90th,95267.51918936038
3,1965,10th,14783.242811906272
4,1965,50th,50989.22710576315
5,1965,90th,101564.12336922104
6,1966,10th,16241.564914502853
7,1966,50th,53898.72767574415
8,1966,90th,107761.73717542752
9,1967,10th,16201.764661177964
10,1967,50th,55282.55186827107
11,1967,90th,108264.85319822676
12,1968,10th,17703.969094363525
13,1968,50th,57354.20607979735
14,1968,90th,113451.13236225462
15,1970,10th,17354.95148828373
16,1970,50th,59243.18733375555
17,1970,90th,119518.11969601017
18,1971,10th,17251.879037365423
19,1971,50th,58370.64331855606
20,1971,90th,119040.51665611147
21,1972,10th,17452.921342621918
22,1972,50th,61139.31222292592
23,1972,90th,126052.50487650414
24,1973,10th,18224.43394553515
25,1973,50th,62842.55896136797
26,1973,90th,128828.31741608617
27,1974,10th,17178.401646611783
28,1974,50th,59769.77530082332
29,1974,90th,124306.39632678914
30,1975,10th,16621.198100063335
31,1975,50th,58337.98670044333
32,1975,90th,121104.0067131096
33,1976,10th,16924.292336922106
34,1976,50th,60048.377074097545
35,1976,90th,124442.12539582016
36,1977,10th,16739.57834072198
37,1977,50th,60137.16225459152
38,1977,90th,127283.25117162763
39,1978,10th,16750.80405319823
40,1978,50th,61109.717162761255
41,1978,90th,129905.98581380624
42,1979,10th,16079.302343255227
43,1979,50th,60711.71462951236
44,1979,90th,130791.79658011402
45,1980,10th,15109.808993033568
46,1980,50th,56744.95604813174
47,1980,90th,124500.29499683346
48,1981,10th,14557.708043065231
49,1981,50th,55119.26877770742
50,1981,90th,122635.8062064598
51,1982,10th,13907.63723875871
52,1982,50th,54034.45674477518
53,1982,90th,123162.39417352756
54,1983,10th,13802.523749208362
55,1983,50th,54637.58366054466
56,1983,90th,125333.03875870806
57,1984,10th,14047.448385053834
58,1984,50th,56641.88359721344
59,1984,90th,131066.31627612415
60,1985,10th,14345.440025332491
61,1985,50th,57247.05155161496
62,1985,90th,132795.07599746677
63,1986,10th,14440.348321722611
64,1986,50th,59692.21583280558
65,1986,90th,138455.89664344524
66,1987,10th,14561.790120329326
67,1987,50th,60665.791260291335
68,1987,90th,141712.373780874
69,1988,10th,14602.610892970237
70,1988,50th,60210.63964534517
71,1988,90th,143026.80265991137
72,1989,10th,15272.071564281194
73,1989,50th,61070.93742875239
74,1989,90th,145968.9598480051
75,1990,10th,14681.190880303991
76,1990,50th,59534.03533882205
77,1990,90th,142212.42824572517
78,1991,10th,13940.29385687144
79,1991,50th,57524.63280557316
80,1991,90th,139503.96998100067
81,1992,10th,13552.496516782776
82,1992,50th,57594.02811906271
83,1992,90th,139979.53198226728
84,1993,10th,13235.115009499686
85,1993,50th,56067.3312222926
86,1993,90th,142460.4144395187
87,1994,10th,13737.210512982903
88,1994,50th,57394.00633312224
89,1994,90th,146042.43723875875
90,1995,10th,14491.374287523751
91,1995,50th,58264.50930968969
92,1995,90th,146475.1374287524
93,1996,10th,14156.643951868276
94,1996,50th,59227.87954401521
95,1996,90th,148677.41811272962
96,1997,10th,14749.56567447752
97,1997,50th,60410.66143128563
98,1997,90th,153551.41836605448
99,1998,10th,15038.372640911972
100,1998,50th,62480.27460417988
101,1998,90th,158359.0848638379
102,1999,10th,15782.331222292592
103,1999,50th,64018.19721342623
104,1999,90th,164279.11741608617
105,2000,10th,16491.59214692844
106,2000,50th,64784.60721975935
107,2000,90th,166194.63217226096
108,2001,10th,15678.238252058269
109,2001,50th,63437.52172260926
110,2001,90th,164840.4030398987
111,2002,10th,15434.33413552882
112,2002,50th,62934.40569981002
113,2002,90th,163795.39126029136
114,2003,10th,14816.919949335024
115,2003,50th,62528.239012032944
116,2003,90th,166360.97682077266
117,2004,10th,14727.11424952502
118,2004,50th,62663.96808106398
119,2004,90th,165608.85408486388
120,2005,10th,14703.642305256495
121,2005,50th,62238.41152628247
122,2005,90th,166152.79088030403
123,2006,10th,15170.019632678914
124,2006,50th,62568.03926535783
125,2006,90th,171475.81963267893
126,2007,10th,15004.69550348322
127,2007,50th,63482.42457251426
128,2007,90th,168631.6322989234
129,2008,10th,14283.1883470551
130,2008,50th,60989.29588347056
131,2008,90th,164756.72045598485
132,2009,10th,13420.849525015836
133,2009,50th,59617.71792273592
134,2009,90th,165469.04293856875
135,2010,10th,13077.955034832175
136,2010,50th,58514.53654211528
137,2010,90th,162471.77770740978
138,2011,10th,12674.84990500317
139,2011,50th,57036.82457251426
140,2011,90th,159997.0183660545
141,2012,10th,12674.84990500317
142,2012,50th,56983.75756808108
143,2012,90th,160463.39569347692
144,2013,10th,13216.745661811276
145,2013,50th,58140.0059531349
146,2013,90th,162264.61228625715
147,2014,10th,13029.990626979104
148,2014,50th,59551.38416719444
149,2014,90th,170318.55072830908
150,2015,10th,14052.550981633947
151,2015,50th,62396.592020266005
152,2015,90th,175716.07739075366
153,2016,10th,14458.717669411022
154,2016,50th,64959.11602279925
155,2016,90th,182826.0354654845
