,type,race,year,wealth_lifetime
0,Average,White,1983,210741.92
1,Average,White,1989,395395.72
2,Average,White,1992,423597.7
3,Average,White,1995,509094.94
4,Average,White,1998,701825.41
5,Average,White,2001,1018077.2
6,Average,White,2004,1205138.9
7,Average,White,2007,1338772.0
8,Average,White,2010,1253014.6
9,Average,White,2013,1261285.8
10,Average,White,2016,1338360.1
11,Average,Black,1983,63444.334
12,Average,Black,1989,126714.82
13,Average,Black,1992,102510.98
14,Average,Black,1995,112604.41
15,Average,Black,1998,138668.84
16,Average,Black,2001,168999.75
17,Average,Black,2004,277834.46
18,Average,Black,2007,251223.5
19,Average,Black,2010,167866.0
20,Average,Black,2013,120797.94
21,Average,Black,2016,203687.83
22,Median,White,1983,101317.32
23,Median,White,1989,163449.34
24,Median,White,1992,136345.67
25,Median,White,1995,179542.41
26,Median,White,1998,224269.55
27,Median,White,2001,281714.19
28,Median,White,2004,418543.47
29,Median,White,2007,367785.56
30,Median,White,2010,327287.84
31,Median,White,2013,343667.19
32,Median,White,2016,317510.0
33,Median,Black,1983,13874.719
34,Median,Black,1989,5019.1636
35,Median,Black,1992,41490.676
36,Median,Black,1995,56470.121
37,Median,Black,1998,26513.973
38,Median,Black,2001,64355.426
39,Median,Black,2004,52448.289
40,Median,Black,2007,121695.8
41,Median,Black,2010,38686.508
42,Median,Black,2013,48059.789
43,Median,Black,2016,46890.0
